song_name,unique_char_count,jlpt_n5,jlpt_n4,jlpt_n3,jlpt_n2,jlpt_n1,unknowns,avg_freq,sum_freq,avg_strokes,sum_strokes,avg_wk_level,total_kanji,kanji_entropy,line_repetition_ratio,translation_time_in_minutes
新世紀のラブソング,170,31,35,68,13,40,5,597.29,113486,9.19,1764,15.22,192,6.6254,0.4583,285
E,78,10,10,20,10,4,5,609.67,33532,8.24,486,14.69,59,5.9568,0.5263,101
24時,105,31,29,19,8,17,5,546.49,58474,8.83,962,16.12,109,6.2197,0.6857,171
真夜中と真昼の夢,76,19,18,16,4,9,3,604.06,40472,8.17,564,10.44,69,5.789,0.4,106
タイトロープ,90,5,10,12,3,8,5,734.92,29397,9.84,423,16.24,43,6.1202,0.0,94
ネオテニー,134,24,22,32,15,16,1,584.38,64282,8.55,941,13.94,110,6.6616,0.2069,195
或る街の群青,160,14,26,46,6,16,10,649.75,75371,9.38,1107,16.11,118,6.6883,0.2105,173
転がる岩、君に朝が降る,126,21,24,32,12,14,3,529.35,55582,8.58,909,13.3,106,6.2575,0.2941,150
さよならロストジェネレイション,144,26,28,51,7,15,11,539.53,70678,9.16,1255,13.66,138,6.1601,0.2619,129
架空生物のブルース,117,21,23,37,15,17,6,596.12,69746,8.76,1043,16.22,119,6.2883,0.5,120
